Date,Open,High,Low,Close,Adj Close,Volume
"Jul 13, 2022",4.1,4.18,4.07,4.09,3.57,"3,082,800"
"Jul 12, 2022",4.07,4.13,3.97,4.13,3.6,"1,134,400"
"Jul 8, 2022",4.06,4.11,3.99,4.07,3.55,"3,659,500"
"Jul 7, 2022",3.83,4.15,3.83,4.05,3.53,"5,114,000"
"Jul 6, 2022",4.25,4.3,3.82,3.83,3.34,"7,921,800"
"Jul 5, 2022",4.36,4.38,4.2,4.26,3.71,"5,139,700"
"Jul 4, 2022",4.32,4.36,4.27,4.28,3.73,"2,295,800"
"Jul 1, 2022",4.33,4.39,4.28,4.32,3.77,"2,121,200"
"Jun 30, 2022",4.38,4.42,4.28,4.33,3.77,"5,661,600"
"Jun 29, 2022",4.45,4.45,4.3,4.33,3.77,"3,632,900"
"Jun 28, 2022",4.32,4.47,4.19,4.43,3.86,"4,868,000"
"Jun 27, 2022",4.13,4.34,4.13,4.3,3.75,"3,284,000"
"Jun 24, 2022",4.27,4.33,4.14,4.22,3.68,"6,337,900"
"Jun 23, 2022",4.1,4.32,4.09,4.29,3.74,"5,365,200"
"Jun 22, 2022",4.42,4.45,4.02,4.04,3.52,"10,678,600"
"Jun 21, 2022",4.35,4.46,4.35,4.42,3.85,"3,899,900"
"Jun 20, 2022",4.42,4.49,4.32,4.45,3.88,"1,677,200"
"Jun 17, 2022",4.5,4.5,4.34,4.46,3.89,"9,065,500"
"Jun 16, 2022",4.61,4.7,4.43,4.54,3.96,"5,884,200"
"Jun 15, 2022",4.82,4.82,4.54,4.6,4.01,"4,599,100"
"Jun 14, 2022",4.44,4.85,4.44,4.79,4.18,"5,536,200"
"Jun 13, 2022",4.55,4.63,4.4,4.52,3.94,"8,310,800"
"Jun 10, 2022",4.74,4.74,4.58,4.64,4.04,"5,388,600"
"Jun 9, 2022",4.83,4.85,4.68,4.71,4.11,"3,089,000"
"Jun 8, 2022",4.7,4.92,4.7,4.83,4.21,"4,962,400"
"Jun 7, 2022",4.89,4.93,4.68,4.7,4.1,"7,254,900"
"Jun 3, 2022",4.91,4.93,4.84,4.91,4.28,"2,099,400"
"Jun 2, 2022",4.98,4.98,4.81,4.88,4.25,"3,510,200"
"Jun 1, 2022",5.06,5.06,4.9,4.91,4.28,"1,921,800"
